17:48:54.913 > Initializing
17:48:54.932 > Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
17:49:00.184 > ---------------------------------
17:49:00.225 > Live readings:
17:49:00.239 > Time (ms), Sensor 1 Force (N)
17:49:00.274 > , 0.0000000000
17:49:00.288 > , 0.0000000000
17:49:00.304 > , 0.0000000000
17:49:00.322 > , 0.0000000000
17:49:00.337 > , 0.0000000000
17:49:00.356 > , 0.0000000000
17:49:00.373 > , 0.0000000000
17:49:00.389 > , 0.0000000000
17:49:00.405 > , 0.0000000000
17:49:00.419 > , 0.0000000000
17:49:00.433 > , 0.0000000000
17:49:00.454 > , 0.0000000000
17:49:00.469 > , 0.0000000000
17:49:00.483 > , 0.0000000000
17:49:00.503 > , 0.0000000000
17:49:00.520 > , 0.0000000000
17:49:00.539 > , 0.0000000000
17:49:00.554 > , 0.0000000000
17:49:00.573 > , 0.0000000000
17:49:00.586 > , 0.0000000000
17:49:00.606 > , 0.0000000000
17:49:00.622 > , 0.0000000000
17:49:00.634 > , 0.0000000000
17:49:00.655 > , 0.0000000000
17:49:00.669 > , 0.0000000000
17:49:00.683 > , 0.0000000000
17:49:00.704 > , 0.0000000000
17:49:00.719 > , 0.0000000000
17:49:00.732 > , 0.0000000000
17:49:00.752 > , 0.0000000000
17:49:00.769 > , 0.0000000000
17:49:00.787 > , 0.0000000000
17:49:00.802 > , 0.0000000000
17:49:00.821 > , 0.0000000000
17:49:00.836 > , 0.0000000000
17:49:00.856 > , 0.0000000000
17:49:00.871 > , 0.0000000000
17:49:00.885 > , 0.0000000000
17:49:00.905 > , 0.0000000000
17:49:00.921 > , 0.0000000000
17:49:00.933 > , 0.0000000000
17:49:00.954 > , 0.0000000000
17:49:00.971 > , 0.0000000000
17:49:00.986 > , 0.0000000000
17:49:01.002 > , 0.0000000000
17:49:01.019 > , 0.0000000000
17:49:01.036 > , 0.0000000000
17:49:01.051 > , 0.0000000000
17:49:01.073 > , 0.0000000000
17:49:01.088 > , 0.0000000000
17:49:01.106 > , 0.0000000000
17:49:01.121 > , 0.0000000000
17:49:01.134 > , 0.0000000000
17:49:01.155 > , 0.0000000000
17:49:01.169 > , 0.0000000000
17:49:01.184 > , 0.0000000000
17:49:01.205 > , 0.0000000000
17:49:01.219 > , 0.0000000000
17:49:01.238 > , 0.0000000000
17:49:01.252 > , 0.0000000000
17:49:01.265 > , 0.0000000000
17:49:01.288 > , 0.0000000000
17:49:01.306 > , 0.0000000000
17:49:01.323 > , 0.0000000000
17:49:01.339 > , 0.0000000000
17:49:01.356 > , 0.0000000000
17:49:01.373 > , 0.0000000000
17:49:01.389 > , 0.0000000000
17:49:01.405 > , 0.0000000000
17:49:01.421 > , 0.0000000000
17:49:01.439 > , 0.0000000000
17:49:01.454 > , 0.0000000000
17:49:01.473 > , 0.0000000000
17:49:01.481 > , 0.0000000000
17:49:01.504 > , 0.0000000000
17:49:01.517 > , 0.0000000000
17:49:01.536 > , 0.0000000000
17:49:01.556 > , 0.0000000000
17:49:01.571 > , 0.0000000000
17:49:01.585 > , 0.0000000000
17:49:01.606 > , 0.0000000000
17:49:01.622 > , 0.0000000000
17:49:01.640 > , 0.0000000000
17:49:01.654 > , 0.0000000000
17:49:01.669 > , 0.0000000000
17:49:01.683 > , 0.0000000000
17:49:01.703 > , 0.0000000000
17:49:01.719 > , 0.0000000000
17:49:01.737 > , 0.0000000000
17:49:01.752 > , 0.0000000000
17:49:01.768 > , 0.0000000000
17:49:01.786 > , 0.0000000000
17:49:01.805 > , 0.0000000000
17:49:01.822 > , 0.0000000000
17:49:01.836 > , 0.0000000000
17:49:01.855 > , 0.0000000000
17:49:01.869 > , 0.0000000000
17:49:01.889 > , 0.0000000000
17:49:01.906 > , 0.0000000000
17:49:01.921 > , 0.0000000000
17:49:01.932 > , 0.0000000000
17:49:01.953 > , 0.0000000000
17:49:01.970 > , 0.0000000000
17:49:01.986 > , 0.0000000000
17:49:02.001 > , 0.0000000000
17:49:02.019 > , 0.0000000000
17:49:02.035 > , 0.0000000000
17:49:02.056 > , 0.0000000000
17:49:02.070 > , 0.0000000000
17:49:02.085 > , 0.0000000000
17:49:02.104 > , 0.0000000000
17:49:02.122 > , 0.0000000000
17:49:02.135 > , 0.0000000000
17:49:02.154 > , 0.0000000000
17:49:02.167 > , 0.0000000000
17:49:02.183 > , 0.0000000000
17:49:02.202 > , 0.0000000000
17:49:02.216 > , 0.0000000000
17:49:02.236 > , 0.0000000000
17:49:02.253 > , 0.0000000000
17:49:02.267 > , 0.0000000000
17:49:02.286 > , 0.0000000000
17:49:02.305 > , 0.0000000000
17:49:02.322 > , 0.0000000000
17:49:02.335 > , 0.00000000
