Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
PRESS ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N)
3319, 0.0000000000
3340, 0.0000000000
3361, 0.0000000000
3382, 0.0000000000
3402, 0.0000000000
3424, 0.0000000000
3444, 0.0000000000
3465, 0.0000000000
3486, 0.0000000000
3507, 0.0000000000
3527, 0.0000000000
3549, 0.0000000000
3569, 0.0000000000
3590, 0.0000000000
3610, 0.0000000000
3632, 0.0000000000
3652, 0.0000000000
3673, 0.0000000000
3694, 0.0000000000
3715, 0.0000000000
3735, 0.0000000000
3757, 0.0000000000
3777, 0.0000000000
3798, 0.0000000000
3819, 0.0000000000
3840, 0.0000000000
3860, 0.0000000000
3881, 0.0000000000
3902, 0.0000000000
3922, 0.0000000000
3943, 0.0000000000
3964, 0.0000000000
3985, 0.0000000000
4005, 0.0000000000
4027, 0.0000000000
4047, 0.0000000000
4068, 0.0000000000
4089, 0.0000000000
4110, 0.0000000000
4130, 0.0000000000
4152, 0.0000000000
4172, 0.0000000000
4193, 0.0000000000
4214, 0.0000000000
4235, 0.0000000000
4255, 0.0000000000
4276, 0.0000000000
4297, 0.0000000000
4318, 0.0000000000
4338, 0.0000000000
4360, 0.0000000000
4380, 0.0000000000
4401, 0.0000000000
4422, 0.0000000000
4443, 0.0000000000
4463, 0.0000000000
4485, 0.0000000000
4505, 0.0000000000
4526, 0.0000000000
4547, 0.0000000000
4568, 0.0000000000
4588, 0.0000000000
4609, 0.0000000000
4630, 0.0000000000
4651, 0.0000000000
4671, 0.0000000000
4692, 0.0000000000
4713, 0.0000000000
4733, 0.0000000000
4755, 0.0000000000
4775, 0.0000000000
4796, 0.0000000000
4817, 0.0000000000
4838, 0.0000000000
4858, 0.0000000000
4880, 0.0000000000
4900, 0.0000000000
4921, 0.0000000000
4941, 0.0000000000
4963, 0.0000000000
4983, 0.0000000000
5004, 0.0000000000
5025, 0.0000000000
5046, 0.0000000000
5066, 0.0000000000
5088, 0.0000000000
