Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
Place a known weight onto the load cell; enter the weight in kg and press enter when ready.
NOTE: this process will calibrate to Newtons.
Averaged value with weight, minus tare: 		nan
Calibrated value of weight: 		0.0000000000
Calibration complete, save and put in code if required. Set to: 		nan
PRESS ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N)
1874, nan
1890, nan
1901, nan
1912, nan
1924, nan
1935, nan
1946, nan
1958, nan
1970, nan
1981, nan
1992, nan
2003, nan
2015, nan
2027, nan
2038, nan
2050, nan
2061, nan
2072, nan
2083, nan
2096, nan
2107, nan
2118, nan
2129, nan
2141, nan
2153, nan
2164, nan
2176, nan
2187, nan
2198, nan
2209, nan
2222, nan
2233, nan
2244, nan
2255, nan
2267, nan
2278, nan
2290, nan
2301, nan
2313, nan
2324, nan
2335, nan
2347, nan
2359, nan
2370, nan
2381, nan
2393, nan
2404, nan
2415, nan
2427, nan
2439, nan
2450, nan
2461, nan
2472, nan
2485, nan
2496, nan
2507, nan
2519, nan
2530, nan
2541, nan
2553, nan
2565, nan
2576, nan
2587, nan
2598, nan
2610, nan
2622, nan
2633, nan
2644, nan
2656, nan
2667, nan
2678, nan
2691, nan
2702, nan
2713, nan
2724, nan
2736, nan
2747, nan
2759, nan
2770, nan
2782, nan
2793, nan
2804, nan
2816, nan
2828, nan
2839, nan
2850, nan
2862, nan
2873, nan
2885, nan
2896, nan
2908, nan
2919, nan
2930, nan
2941, nan
2954, nan
2965, nan
2976, nan
2988, nan
2999, nan
3010, nan
3022, nan
3034, nan
3045, nan
3056, nan
3067, nan
3079, nan
3091, nan
3102, nan
3113, nan
3125, nan
3136, nan
3147, nan
3160, nan
3171, nan
3182, nan
3193, nan
3205, nan
3217, nan
3228, nan
3239, nan
3251, na
