Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
Place a weight onto the load cell; enter the mass and press enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 1.00 kg...Averaged value with weight, minus tare: 		1161.0000000000
Calibrated value of weight: 		1096.0000000000
Calibration complete, save and put in code if required. Set to: 		1161.0000000000
PRESS ANY CHARACTER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
43454, 2.3763997554
44294, 2.4349699020
45236, 2.2825150489
46177, 2.2540912628
47119, 2.3772609233
48060, 3.4246339797
49002, 3.4427218437
49944, 3.5245478153
50885, 3.3333332538
51827, 3.2110249996
52769, 3.3281652927
53710, 3.7381567955
54652, 3.3540050983
55593, 3.1860466003
56536, 3.4031007289
57478, 3.5503876209
58419, 3.2592592239
59361, 5.8871660232
60302, 5.5038757324
61244, 3.6537468433
62186, 3.3522825241
63127, 3.4177432060
64069, 4.7622737884
65010, 3.2523686885
65952, 3.2170543670
66894, 3.6029284000
67835, 3.3471145629
68777, 3.2024116516
69719, 3.3720929622
70661, 2.5012919902
71603, 2.4806201457
72544, 2.3695089817
73486, 2.8466839790
74428, 3.5469422340
75369, 3.4039621353
76311, 3.5099053382
77253, 5.6649441719
78194, 3.2032730579
79136, 3.8001723289
80077, 13.8501291275
81019, 4.2480621337
81961, 3.3695089817
82903, 3.3083548545
83845, 3.3221361637
84787, 3.3979327678
85728, 3.2937123775
86670, 3.3195521831
87611, 3.7459087371
88553, 3.3238587379
89495, 3.6175711154
90436, 4.4806203842
91378, 3.5340223312
92319, 3.3583118915
93261, 3.3471145629
94203, 3.9793281555
95144, 
