Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
Place a 1 kg weight onto the load cell, press any character then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 1.00 kg...Averaged value with weight, minus tare: 		-95.0000000000
Calibrated value of weight: 		2206.0000000000
Calibration complete, save and put in code if required. Set to: 		-95.0000000000
PRESS ANY CHARACTER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, 0.6000000000
1234, 1.3684210777
2647, 0.8421052932
4059, 1.2947368621
5471, 0.3052631616
6884, 1.2210526466
8297, 0.7157895088
9709, 0.7052631378
11121, 0.4210526466
12534, 0.5368421077
13946, 0.5684210777
15358, 1.5052632331
16770, 1.7999999523
18183, 1.0000000000
19595, 0.5578947544
21007, 0.7473683834
22421, 1.1578947305
23833, -0.1263157844
25245, -0.5052631378
26658, -0.4105263233
28070, 0.3684210538
29482, 0.4105263233
30894, -0.1368421077
32307, 0.4000000000
33719, 0.2315789461
35131, 0.5894736766
36544, 1.0421053171
37957, 0.6631578922
39369, 0.9263157844
40781, 1.8315790176
42193, -0.1052631616
43606, 0.8631578445
45018, 0.7052631378
46430, 0.0210526323
47842, 0.6842105388
49254, 1.4210525512
50668, 0.5368421077
52080, -0.2526315689
53492, -0.1052631616
54905, -0.2000000000
56317, 0.1578947305
57729, 0.2315789461
59141, 0.2105263233
60553, -0.1263157844
61966, -0.0421052646
63379, -0.2210526227
64791, -0.3684210538
66203, 0.4000000000
67616, -0.1473684215
69028, -0.0842105293
70440, -0.1368421077
71852, -0.2736842155
73265, -0.1052631616
74677, -0.2421052694
76089, -0.2842105388
77502, -0.1368421077
78915, -0.2000000000
80327, -0.2631578922
81739, -0.2736842155
83151, -0.4210526466
84563, -0.2105263233
85976, -0.4000000000
87388, -0.3157894611
88800, -0.2947368431
90212, -0.1052631616
91626, -0.2315789461
93038, -0.1578947305
94450, -0.1789473772
95862, 0.0000000000
97274, -0.0526315784
98687, -0.3263157844
100099, -0.1052631616
101511, -0.1473684215
102923, -0.2421052694
104336, 0.0947368431
105749, 0.0736842107
107161, -0.3578947544
108573, 0.0421052646
109985, -0.0526315784
111398, -0.1157894730
112810, -0.1368421077
114222, -0.2105263233
115634, -0.0526315784
117047, -0.4000000000
118459, -0.2421052694
119872, -0.2421052694
121284, -0.0210526323
122696, -0.2842105388
124108, -0.1789473772
125521, -0.2000000000
126933, 0.1789473772
128345, 0.3473684310
129757, -0.4421052455
131169, 0.4421052455
132582, -0.2000000000
133995, -0.1052631616
135407, -0.4526315689
136819, -0.2842105388
138231, -0.1368421077
139644, 0.1263157844
141056, -0.4842105388
142468, -0.3263157844
143880, -0.2736842155
145292, -0.1157894730
146706, -0.2210526227
148118, 0.2842105388
149530, -0.3578947544
150942, -0.0315789461
152355, -0.0842105293
153767, -0.1368421077
155179, -0.3052631616
156591, -0.6947368621
158003, -0.0842105293
159416, -0.1052631616
160829, -0.3263157844
162241, -0.1789473772
163653, -0.1894736862
165066, 0.3368421077
166478, -0.0315789461
167890, -0.0631578922
169302, -0.0105263161
170715, -0.5157894611
172127, 0.2526315689
173539, -0.3157894611
174952, -0.5263157844
176364, -16.6315784454
177777, -47.2736854553
179189, 2.2000000476
180601, -0.2421052694
182013, 2.0526316165
183426, 1.7894736289
184838, 1.3263157606
186250, 0.5578947544
187662, -90.0526351928
189076, -57.3789482116
190488, -44.6210517883
191900, 
