Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, 35.113, 53.680, 60.792, 51.032
1389, 33.021, 51.374, 57.150, 48.115
2615, 38.089, 53.827, 59.892, 51.650
4029, 37.184, 53.827, 58.364, 49.087
5349, 34.027, 52.895, 57.284, 48.527
6669, 33.631, 51.913, 57.284, 50.059
8083, 36.808, 54.072, 57.464, 49.146
9403, 34.868, 52.895, 57.329, 48.822
10817, 33.860, 52.502, 57.329, 47.643
12137, 34.218, 53.631, 57.240, 48.851
13551, 36.175, 53.287, 57.509, 49.175
14871, 34.748, 52.453, 57.554, 49.175
16191, 35.318, 53.091, 56.700, 45.581
17605, 47.079, 58.685, 61.826, 50.619
18925, 44.608, 59.421, 62.635, 52.269
20339, 39.222, 55.741, 59.218, 48.763
21659, 48.016, 59.715, 62.365, 52.416
23073, 39.734, 55.348, 58.678, 48.174
24393, 35.123, 54.661, 58.184, 48.203
25713, 34.834, 54.661, 57.869, 48.262
27127, 38.022, 55.986, 59.398, 48.645
28447, 34.668, 54.171, 57.599, 48.380
29861, 34.724, 54.122, 57.824, 47.349
31181, 34.408, 53.778, 57.195, 47.820
32595, 32.777, 53.484, 58.364, 51.149
33915, 40.464, 55.594, 59.218, 48.498
35235, 34.114, 54.710, 58.948, 48.586
36649, 36.579, 54.907, 58.319, 49.323
37969, 35.029, 54.023, 58.184, 48.321
39383, 34.872, 53.974, 57.554, 48.056
40703, 34.672, 54.318, 58.319, 48.291
42117, 34.257, 54.171, 58.274, 47.702
43437, 33.475, 54.220, 60.612, 54.302
44757, 40.204, 63.886, 68.346, 55.274
46077, 39.853, 63.886, 68.570, 54.980
47397, 38.965, 63.150, 70.009, 56.070
48717, 40.473, 62.757, 69.829, 55.893
49943, 40.095, 62.856, 69.695, 54.773
51263, 37.921, 62.414, 69.425, 55.274
52489, 39.358, 62.267, 69.425, 55.363
53808, 37.859, 61.138, 68.930, 55.569
55034, 38.327, 62.218, 68.076, 56.158
56354, 39.503, 62.169, 69.380, 56.040
57579, 39.698, 61.334, 69.245, 55.805
58899, 40.229, 61.727, 68.795, 55.569
60219, 41.878, 65.358, 75.810, 58.751
61539, 45.515, 66.438, 73.696, 56.571
62859, 44.846, 64.769, 70.864, 56.276
64179, 45.388, 63.346, 68.436, 53.212
65593, 43.842, 62.021, 68.256, 53.654
66913, 42.292, 61.825, 69.560, 55.009
68327, 44.149, 62.659, 68.840, 55.834
69647, 42.515, 61.825, 67.671, 53.448
71061, 41.457, 62.169, 71.718, 59.340
72381, 42.806, 64.671, 73.472, 55.834
73701, 39.362, 59.912, 66.052, 50.973
75115, 38.298, 59.274, 66.547, 52.033
76435, 39.729, 59.568, 66.637, 52.711
77849, 40.932, 60.795, 66.862, 51.474
79169, 39.201, 60.991, 65.783, 51.474
80583, 40.538, 60.451, 66.457, 52.210
81903, 38.940, 60.255, 67.356, 52.888
83223, 40.073, 60.598, 66.367, 52.299
84637, 40.248, 60.402, 66.322, 51.503
85957, 37.334, 58.636, 66.817, 49.765
87371, 42.811, 67.174, 74.910, 58.545
88691, 47.436, 63.003, 69.065, 53.477
90105, 42.466, 60.893, 67.132, 52.151
91425, 39.726, 61.678, 68.391, 54.096
92745, 41.126, 60.451, 65.963, 52.269
94160, 39.879, 60.451, 66.502, 52.357
95480, 39.820, 60.059, 67.356, 53.153
96894, 39.255, 60.402, 67.626, 52.063
98214, 39.614, 60.648, 65.963, 51.945
99628, 39.749, 60.010, 66.142, 51.857
