Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
Place a 50 N weight onto the load cell, press any number then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 50.00 N...
Tare value: 3915.00
Averaged value with weight, minus tare: 		24.0599994659
Calibrated value of weight: 		1230.0000000000
Calibration complete, save and put in code if required. Set to: 		24.0599994659
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -0.534, -2.161, -0.541, -0.775
1346, -0.087, -1.496, -0.489, -0.657
2762, -0.128, 3.699, -0.566, -1.230
4081, -0.366, 10.515, -1.030, -1.365
5497, -0.484, 9.643, -0.335, -1.482
6817, -0.573, 20.449, -0.644, -1.550
8137, -0.473, 24.688, -0.386, -1.550
9457, -0.524, 31.089, -0.592, -1.718
10777, -0.798, 31.172, -0.463, -1.786
12097, -0.635, -2.411, -0.618, -1.617
13418, -0.675, -2.120, -0.592, -1.819
14832, -0.736, -4.655, -0.438, -1.634
16152, -0.661, -8.562, -0.875, -2.022
17568, -0.820, -3.159, -0.798, -1.853
18982, -0.785, -5.278, -0.592, -1.836
20396, -0.889, -2.535, -0.669, -1.836
21717, -0.711, -2.535, -0.412, -1.516
23037, 0.983, -2.411, -0.566, -1.685
24357, 0.298, -2.411, -0.824, -2.038
25678, -1.279, -2.161, -0.515, -1.803
27092, -2.331, -2.535, -0.772, -1.634
28412, 0.179, -2.909, -0.515, -1.920
29733, -1.846, -3.325, -0.824, -1.819
31053, -0.230, -3.034, -0.721, -1.853
32373, -0.029, -3.574, -0.515, -1.617
33694, -0.679, -2.951, -0.566, -2.005
35013, -1.026, -3.117, -0.875, -1.752
36333, -0.450, -3.242, -0.772, -1.836
37654, -4.057, -2.951, -0.695, -1.769
39068, -5.270, -3.034, -0.489, -1.786
40388, -0.461, -2.826, -0.772, -1.634
41709, -0.623, -2.618, -0.644, -1.803
43029, -0.799, -2.244, -0.772, -1.836
44349, -0.742, -2.909, -0.592, -1.718
45669, -0.950, -2.868, -0.695, -1.718
46990, -0.791, -2.785, -0.798, -1.685
48310, -0.833, -2.452, -0.721, -1.836
49630, -0.792, -2.369, -0.592, -2.123
50951, -0.859, -2.743, -0.695, -1.617
52271, -0.647, -2.993, -0.875, -1.819
53591, -0.448, -2.535, -0.644, -1.634
54912, -0.508, -2.785, -0.566, -1.752
56232, -0.442, -2.369, -0.644, -1.769
57552, 2.469, -3.159, -0.592, -1.920
58873, 2.189, -3.076, -0.927, -1.971
60193, 7.406, -3.533, -0.721, -1.887
61513, 1.647, -3.159, -0.566, -1.786
62833, -0.390, -2.868, -0.798, -1.769
64153, -0.140, -2.993, -0.669, -1.752
65474, -0.806, -2.618, -0.747, -1.819
66794, -0.860, -2.203, -0.772, -1.920
68114, -0.535, -2.618, -0.566, -1.937
69435, -0.595, -2.535, -0.901, -1.853
70755, -0.822, -2.868, -0.721, -1.870
72075, 2.681, -2.328, -0.721, -1.904
73396, 10.850, -2.369, -0.721, -2.022
74716, 2.632, -2.743, -1.081, -2.005
76036, 31.948, -2.494, -0.566, -1.920
77357, 1.989, -2.909, -0.669, -1.584
78677, 4.997, -2.369, -0.592, -2.139
79997, 9.108, -2.909, -0.798, -1.887
81318, 11.970, -2.702, -0.824, -1.954
82732, 20.167, -3.076, -0.644, -1.904
84146, 20.666, -2.618, -0.695, -2.005
85561, 30.089, -2.411, -0.772, -1.668
86975, 31.728, -2.702, -0.515, -1.988
88390, -0.763, -2.452, -0.592, -1.887
89710, -1.752, -2.702, -0.592, -1.819
91126, -0.328, -3.283, -0.644, -1.752
92540, -1.336, -2.909, -0.515, -1.752
93954, -1.204, -2.951, -0.772, -1.937
95369, -4.329, -2.452, -1.184, -1.887
96783, -0.798, -2.868, -0.695, -1.920
98198, -0.820, -2.868, -0.515, -1.920
99612, -0.783, -2.702, -0.386, -1.819
100932, -0.947, -2.951, 0.129, -1.803
102253, -0.730, -3.325, -0.438, -1.584
103573, -3.753, -2.993, -1.030, -1.786
104893, -0.803, -2.452, -0.747, -1.297
106214, -0.562, -2.702, -4.222, -1.297
107534, -0.508, -2.369, -0.515, -1.196
108854, -0.483, -1.870, -0.824, -1.196
110175, -0.537, -2.161, -0.463, -1.213
111401, -0.446, -2.452, -1.699, -1.044
112721, -0.355, -2.037, -0.566, -1.247
113946, -0.414, -2.078, -0.850, -1.162
115267, -0.615, -2.328, -1.056, -1.179
116587, -0.534, -2.577, -0.747, -1.432
117907, 0.178, -2.702, -0.850, -1.381
119228, -0.174, -2.494, -0.644, -1.634
120548, -0.573, -2.411, -0.644, -1.381
121868, -0.491, -2.826, 2.291, -1.331
123189, -0.464, -2.909, 0.051, -1.230
124509, 0.422, -2.702, 4.428, -1.381
125735, 1.049, -2.286, 0.309, -1.634
127055, -0.151, -2.577, 0.489, -1.230
128281, -0.858, -2.328, 0.566, -1.297
129601, 0.667, -2.161, -0.103, -1.213
130827, 0.130, -2.494, 3.579, -1.314
132148, 0.078, -2.535, 8.162, -1.314
133468, 0.669, -2.120, 10.453, -1.331
134788, 1.578, -2.244, 14.882, -1.263
136109, 0.232, -2.161, 14.650, -1.112
137429, 0.242, -2.286, 20.546, -1.365
138749, 0.419, -2.120, 23.867, -1.162
140070, -0.231, -2.494, 21.524, -1.213
141390, 0.398, -2.660, 30.046, -1.129
142615, 0.850, -2.120, 32.003, -1.365
144031, 0.027, -2.618, -0.541, -1.567
145350, 0.658, -0.956, -0.386, -0.472
146765, 0.292, -2.078, -0.283, -1.078
148180, -0.049, -2.826, -1.107, -1.735
149594, -0.363, -3.117, 0.000, -1.617
151009, -0.001, -2.577, -1.262, -1.280
152329, -0.752, -2.452, -1.880, -1.887
153743, -0.893, 0.291, -1.442, -0.438
155064, -0.279, -1.413, -0.051, -0.775
156478, -0.134, -1.496, -0.129, -2.982
157893, -0.306, -1.496, -0.953, -0.101
159308, -0.181, -1.663, -0.438, -0.505
160722, -0.265, -1.870, -0.360, 5.088
162043, -0.338, -2.120, -0.489, -0.657
163457, -0.316, -2.328, -0.566, -0.842
164777, -0.416, -1.995, -0.850, -1.179
166192, -0.471, -2.328, -0.309, -1.331
167606, -0.436, -2.452, -0.592, -3.201
169021, -0.451, -2.037, -1.287, -1.516
170435, -0.711, -2.452, -0.335, -1.365
171755, -0.692, -2.577, -0.541, -0.792
173171, -0.759, -2.494, -0.747, 6.048
174396, -0.739, -2.743, -0.901, 6.098
175716, -0.688, -2.868, -0.592, 5.138
177037, -0.645, -2.951, -0.386, 8.945
178357, -0.491, -1.787, -0.360, 11.590
179678, -0.556, -2.535, -0.798, 10.866
180998, -0.611, -2.244, -0.824, 10.984
182318, -0.641, -2.203, -0.206, 11.894
183545, -0.658, -2.535, -0.695, 19.811
184865, -0.633, -2.203, -0.824, 22.321
186090, -0.682, -2.328, -0.257, 38.460
187411, -0.293, -3.325, 2.343, 49.023
188637, 0.787, -1.122, 0.953, 86.001
189957, 1.545, -0.125, 0.386, 62.028
191183, 1.231, -1.704, 0.335, 68.565
192504, 1.061, -1.288, -0.386, 54.262
193729, 0.042, -1.953, 0.206, 56.435
195049, 0.436, -1.372, 
