Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
Place a 50 N weight onto the load cell, press any number then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 50.00 N...
Tare value: -5387.00
Averaged value with weight, minus tare: 		7160.7402343750
Calibrated value of weight: 		49.9988822937
Calibration complete, save and put in code if required. Set to: 		7160.7402343750
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -0.008, -1.639, 25.601, -34.676
1450, -0.008, -1.353, 5.837, -19.532
2771, -0.007, -1.553, 35.483, -21.644
4091, -0.012, -1.591, 41.818, -25.611
5411, -0.008, -1.464, 39.806, -49.155
6731, -0.010, -2.388, 34.087, -43.650
8051, -0.009, -2.186, 35.318, -46.998
9371, -0.010, -2.939, 26.885, -41.795
10692, -0.015, -2.430, 25.553, -37.738
12012, -0.009, -1.946, 24.334, -38.371
13332, -0.010, -2.186, 25.328, -46.275
14652, -0.008, -2.163, 25.539, -50.558
16066, -0.011, -2.346, 18.386, -83.273
17481, -0.011, -2.539, 8.574, -85.943
18895, -0.010, -2.549, 42.732, -57.843
20309, -0.008, -2.496, 50.599, -57.074
21724, -0.009, -1.926, 54.637, -36.576
23233, -0.010, -2.200, 55.499, -51.131
24647, -0.009, -2.522, 53.199, -50.543
26061, -0.010, -2.585, 47.060, -55.656
27476, -0.006, -2.521, 52.724, -60.935
28796, -0.009, -2.679, 52.797, 203.876
30116, -0.014, -2.851, 52.715, 122.172
31436, -0.011, -2.980, 52.725, -275.943
32850, -0.009, -3.060, 52.500, -218.869
34170, 
