Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
Place a 50 N weight onto the load cell, press any number then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 50.00 N...
Tare value: 18670.00
Averaged value with weight, minus tare: 		17.0200004577
Calibrated value of weight: 		-39.0716781616
Calibration complete, save and put in code if required. Set to: 		17.0200004577
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, 0.006, 14278.203, 0.657, -0.103
1252, 0.008, 6418.978, 2.129, 2.021
2572, 0.015, 585.546, 0.346, 0.023
3798, 0.008, -376.616, 0.282, -0.161
5119, 0.005, -594.360, 0.153, 0.022
6345, 0.008, -505.817, 0.155, -0.414
7665, 0.005, -500.705, 0.343, -0.231
9080, -0.005, -396.651, 0.050, 0.058
10494, 0.013, -370.153, 0.210, 0.093
11909, 0.007, -575.323, 0.318, -0.164
13323, -0.013, 558.813, 0.302, -0.053
14739, -0.003, 1846.710, 2.046, 2.245
16058, 0.026, 4650.235, 0.599, -0.178
17474, 0.001, -452.996, 1.137, 1.086
18888, 0.013, 23.737, 0.108, 0.872
20303, 0.018, 
