Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
Place a 50 N weight onto the load cell, press any number then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 50.00 N...
Tare value: 707514.00
Averaged value with weight, minus tare: 		3980.1799316406
Calibrated value of weight: 		206.8049774169
Calibration complete, save and put in code if required. Set to: 		3980.1799316406
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, 0.016, 11.875, 0.495, 0.888
1273, -0.007, 6.932, 0.873, -0.173
2593, -0.073, -1.146, 0.482, 0.745
3913, 0.022, 18.668, 0.977, -0.096
5233, -0.236, -1.353, -0.263, -1.213
6553, -0.009, 1.768, 0.117, -0.484
7873, 0.003, 0.327, 1.183, 0.721
9193, -0.018, 0.515, 0.169, 0.759
10514, -0.587, -0.819, 0.049, 1.074
11834, 0.023, 45.186, 1.963, 1.889
13154, 0.017, 31.372, 0.658, -0.387
14474, 0.000, 2.369, 0.197, -0.513
15794, -0.005, 6.963, 0.347, -0.628
17115, -0.004, 0.022, 0.047, -0.645
18435, -0.007, 0.793, 0.340, 0.338
19755, 0.010, 10.615, 0.385, 0.142
21075, 0.017, 67.102, 1.965, 1.894
22395, 0.018, 58.364, 0.603, 0.172
23715, -0.022, 13.805, -0.002, -0.899
25036, -1.569, 1.133, 1.327, -0.859
26355, -0.035, 2.267, 0.876, 0.792
27675, -0.017, 28.940, 1.971, 1.769
28995, 0.020, 22.739, 1.698, 1.374
30316, -0.002, -1.244, -0.284, -1.849
31636, -1.997, -1.724, -0.451, -1.975
32956, -2.016, -1.472, -0.350, -1.928
34276, -2.406, -2.828, -0.556, -1.973
35596, -2.345, -2.085, -0.460, -1.977
36917, -2.047, -1.741, -0.418, -1.975
38237, -2.016, -1.683, -0.346, -1.853
39557, -1.959, -1.585, -0.517, -2.006
40877, -2.066, -3.988, -0.589, -1.885
42198, 
