Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
Place a 50 N weight onto the load cell, press any number then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 50.00 N...
Tare value: 195720.00
Averaged value with weight, minus tare: 		-84.6600036621
Calibrated value of weight: 		428.0769958496
Calibration complete, save and put in code if required. Set to: 		-84.6600036621
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -0.013, 466.466, -0.721, 0.220
1281, 0.009, -840.279, 1.077, 0.544
2695, 0.018, -839.440, 1.074, 0.540
4109, 0.014, -833.900, 1.068, 0.527
5523, 0.007, -726.778, 1.046, 0.473
6938, 0.002, -191.023, 0.766, 0.247
8352, -0.002, 376.730, -0.420, -1.077
9672, -0.005, 456.142, -1.141, -2.364
10898, -0.008, 460.288, -1.192, -2.881
12218, -0.010, 463.324, -1.211, -3.025
13444, -0.012, 464.859, -1.218, -3.062
14764, -0.015, 463.938, -1.121, -2.282
15990, -0.011, 465.072, -1.219, -3.073
17310, -0.016, 465.710, -1.220, -3.075
18630, -0.016, 465.592, -1.220, -3.077
19950, -0.017, 465.804, -1.222, -3.090
21270, -0.019, 466.655, -1.226, -3.077
22590, -0.010, 436.015, -0.070, 0.115
23910, -0.004, 450.780, -1.100, -2.572
25231, -0.011, 463.206, -1.207, -2.936
26551, -0.014, 466.383, -1.224, -3.094
27777, -0.028, 466.879, -1.224, -3.090
29096, -0.018, 465.958, -1.221, -3.080
30322, -0.017, 465.745, -1.221, -3.074
31642, -0.016, 464.753, -1.215, -3.022
32868, -0.013, 463.655, -1.201, -2.970
34188, -0.045, 466.820, -1.008, 0.235
35508, 0.012, -823.648, 1.073, 0.537
36829, 0.015, -820.659, 1.065, 0.528
38149, 0.010, -816.950, 1.058, 0.510
39469, 0.002, -741.956, 1.037, 0.470
40788, -0.002, 190.326, -0.872, -2.315
42108, -0.039, 467.730, -1.226, -2.672
43429, -0.005, -814.800, 1.072, 0.546
44655, 0.026, -818.568, 1.072, 0.536
45975, 0.017, -813.182, 1.066, 0.528
47201, 0.010, -810.418, 1.062, 0.521
48521, 0.005, -804.028, 1.054, 0.502
49746, -0.005, 448.760, -1.226, -3.099
51162, -0.019, 463.407, -0.042, 0.503
52576, 0.001, -261.528, -1.123, -3.099
53990, -0.019, 465.190, -1.218, -3.073
55404, -0.018, 465.568, -1.219, -3.066
56725, -0.019, 465.462, -1.219, -3.080
58139, -0.026, 466.808, -1.223, -3.091
59459, -0.023, 466.407, -1.221, -3.069
60873, -0.019, 465.698, -1.220, -3.067
62288, -0.018, 465.674, -1.222, -3.097
63703, -0.023, 465.296, -1.216, -3.047
65117, -0.017, 465.710, -1.220, -3.080
66437, -0.021, 465.899, -1.220, -3.066
67852, -0.019, 465.722, -1.220, -3.074
69172, -0.019, 465.663, -1.220, -3.058
70586, -0.017, 465.592, -1.220, -3.086
72001, -0.031, 467.446, -1.225, -3.050
73415, -0.015, 464.505, -1.217, -3.046
74829, -0.017, 465.580, -1.219, -2.996
76149, -0.014, 462.958, -1.215, -3.062
77469, -0.018, 465.852, -1.220, -3.073
78695, -0.019, 466.005, -1.221, -3.076
80016, -0.020, 466.478, -1.222, -3.092
81242, -0.024, 466.808, -1.223, -3.089
82562, -0.022, 465.911, -1.219, -3.043
83881, -0.017, 465.474, -1.219, -3.071
85201, -0.020, 465.863, -1.221, -3.081
86522, -0.022, 466.407, -1.223, -3.057
87842, -0.016, 465.308, -1.222, -3.044
89162, -0.017, 464.600, -1.217, -3.060
90482, -0.019, 465.545, -1.220, -3.072
91802, -0.020, 465.816, -1.220, -3.073
93029, -0.019, 465.639, -1.220, -2.892
94349, -0.008, -500.343, 0.998, -1.158
95575, -0.036, 466.643, -1.222, -3.082
96894, -0.022, 466.076, -1.222, -3.084
98120, -0.021, 465.840, -1.220, -3.069
99441, -0.028, 467.411, -1.041, -0.380
100667, -0.013, 455.528, -0.838, -2.208
101987, -0.011, 267.612, -0.583, -3.088
103307, -0.021, 72.608, 1.033, 0.368
104628, -0.007, -138.153, 1.030, 0.490
105948, -0.002, -619.053, 0.925, 0.209
107268, -0.008, 429.742, -0.786, -1.503
108588, -0.011, 455.563, -1.144, -2.571
109813, -0.013, 461.741, -1.203, -2.961
111134, -0.016, 464.292, -1.216, -2.159
112454, 
