Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -184.000, 0.743, -9455.000, -60999.000
1365, -352.000, 1.363, -10706.000, -70121.000
2685, -510.000, 1.455, -10848.000, -70705.000
4004, -558.000, 1.461, -10847.000, -70608.000
5229, -620.000, 1.500, -10919.000, -70625.000
6549, -494.000, -29.426, 44624.000, 2214.000
7774, -159.000, -53.897, 44577.000, 1662.000
9094, -267.000, -6.466, 14782.000, -23710.000
10319, -354.000, 0.614, -6398.000, -53012.000
11639, -468.000, 1.211, -10271.000, -67301.000
12863, -565.000, 1.364, -10595.000, -68936.000
14183, -617.000, 1.396, -10664.000, -69187.000
15409, -613.000, 1.360, -10394.000, -69566.000
16728, -693.000, 1.437, -10764.000, 
