Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, 19.874, 20.056, 19.776, 19.597
1302, 19.492, 19.972, 19.697, 20.523
2621, 15.479, 23.187, 11.582, 31.082
3940, 10.613, 26.993, 9.302, 33.384
5166, 10.254, 27.631, 8.757, 34.088
6485, 10.048, 28.069, 8.573, 34.281
7709, 10.017, 28.144, 8.464, 34.550
9028, 9.915, 28.320, 8.419, 34.592
10253, 9.912, 28.356, 8.419, 34.547
11573, 9.903, 28.371, 8.333, 34.559
12798, 9.845, 28.437, 8.327, 34.665
14116, 9.831, 28.479, 9.433, 28.524
15341, 13.148, 22.938, 17.565, 22.375
16660, 14.070, 22.737, 17.680, 22.069
17886, 14.119, 22.617, 17.713, 22.065
19205, 14.180, 22.585, 17.767, 22.067
20524, 14.228, 22.534, 17.759, 22.004
21937, 14.270, 22.509, 17.797, 21.991
23350, 14.289, 22.491, 17.787, 21.896
24670, 14.261, 22.439, 17.774, 21.882
26083, 14.282, 22.431, 17.788, 21.872
27402, 14.287, 22.412, 17.791, 21.864
28815, 14.299, 22.400, 17.800, 21.876
30134, 14.300, 22.383, 17.791, 21.858
31548, 14.323, 22.384, 17.804, 21.852
32961, 14.334, 22.364, 17.818, 21.910
34280, 14.347, 22.369, 17.826, 21.877
35693, 14.351, 22.344, 17.804, 21.815
37013, 14.356, 22.348, 17.829, 21.835
38426, 14.350, 22.329, 17.827, 21.807
39745, 14.352, 22.307, 17.838, 22.453
41158, 14.944, 22.483, 18.039, 22.188
42477, 14.778, 22.470, 18.036, 22.093
43797, 14.614, 22.111, 17.837, 21.761
45210, 14.643, 22.219, 17.887, 21.830
46529, 14.757, 22.260, 17.971, 21.885
47942, 14.698, 22.231, 17.963, 21.762
49262, 14.672, 22.204, 17.935, 21.736
50675, 14.672, 22.206, 17.955, 21.791
51994, 14.677, 22.204, 17.913, 21.745
53407, 14.664, 22.154, 17.800, 21.641
54632, 14.526, 22.187, 17.819, 21.624
55858, 14.420, 22.200, 17.852, 21.598
57082, 14.404, 22.176, 17.882, 21.708
58307, 14.427, 22.177, 17.905, 21.701
59532, 14.419, 22.191, 17.916, 21.724
60758, 14.412, 22.145, 17.870, 21.388
61982, 14.381, 22.124, 17.834, 21.388
63207, 14.370, 22.108, 17.813, 21.354
64526, 14.356, 22.099, 17.815, 21.338
65751, 14.187, 22.230, 17.225, 23.000
67164, 13.573, 24.087, 12.608, 28.399
68484, 11.063, 26.270, 10.001, 33.580
69897, 9.854, 28.415, 7.669, 37.044
71216, 9.206, 29.710, 6.828, 39.643
72629, 8.746, 30.887, 5.952, 42.227
73948, 8.410, 31.704, 5.473, 44.391
75268, 8.048, 32.903, 5.039, 46.509
76681, 7.750, 34.073, 4.639, 48.771
78000, 7.574, 34.691, 4.434, 49.186
79413, 7.394, 35.364, 4.294, 50.378
80733, 7.272, 35.836, 4.209, 50.713
82146, 7.223, 35.843, 4.250, 48.686
83465, 9.700, 26.475, 16.431, 23.467
84784, 13.356, 23.758, 17.440, 23.223
86103, 13.496, 23.577, 17.483, 23.067
87423, 13.576, 23.492, 17.506, 23.061
88836, 13.628, 23.439, 17.549, 22.957
90155, 13.640, 23.398, 17.547, 22.907
91568, 13.667, 23.351, 17.526, 22.896
92887, 13.693, 23.310, 17.542, 22.869
94301, 13.704, 23.293, 17.551, 22.856
95620, 13.714, 23.268, 17.557, 22.802
96939, 13.731, 23.241, 17.537, 22.700
98257, 13.716, 23.201, 17.509, 22.681
99576, 13.721, 23.193, 17.521, 22.703
100991, 13.728, 23.142, 17.525, 22.711
102309, 13.739, 23.143, 17.476, 24.366
103723, 11.824, 27.297, 8.086, 40.239
105041, 8.149, 32.869, 4.854, 47.960
106456, 7.169, 36.323, 3.648, 56.372
